Date / Time,City,State,Shape,Duration,Summary,Posted,Date of Sighting,Time of Sighting,Meridian
9/29/08 10:41,Longmont,CO,Triangle,45 seconds,UFO might have been invisible to the naked eye but my digital camera got it!!!,10/31/08,9/29/08,10:41:00,AM
9/29/08 7:00,Paramount,CA,Triangle,5 min,2 flying shapes over los angeles witnessed by father and son,10/31/08,9/29/08,7:00:00,AM
9/28/08 11:00,Austin,TX,Triangle,0:05:00,"Triangle shaped UFO in the sky over city park in Austin, Tx.",10/31/08,9/28/08,11:00:00,AM
9/27/08 23:20,Clinton,UT,Triangle,6 seconds,triangle shaped craft with 3 large lights in the corners traveling 800+ mph with no sound.,10/31/08,9/27/08,11:20:00,PM
9/27/08 19:00,Las Vegas,NV,Triangle,,Black triangle with flaching red light flying east across Las Vegas.,10/31/08,9/27/08,7:00:00,PM
9/26/08 23:25,Cheyenne,WY,Triangle,3 seconds,"""V"" shaped craft moving north to south with seven round lights.",10/31/08,9/26/08,11:25:00,PM
9/26/08 19:00,Spokane,WA,Triangle,3 minutes,"It really could have been a jet way up there but when it took that little jog I knew,it wasn't WHEW!!!",10/31/08,9/26/08,7:00:00,PM
9/25/08 3:30,Ainsworth,NE,Triangle,30 seconds,Three objects that are silent and unexplainable,1/10/09,9/25/08,3:30:00,AM
9/25/08 1:30,Austin,TX,Triangle,30 seconds,"2 independent observers witnessed very fast, very high, triangular lights soaring through the Austin sky and then dissappearing.",10/31/08,9/25/08,1:30:00,AM
9/25/08 0:30,Starksboro,VT,Triangle,2.5min,huge low flying craft.,10/31/08,9/25/08,12:30:00,AM
9/24/08 23:00,Temecula,CA,Triangle,1 hour,"Brightly lit object about the size and brightness of a planet in the night sky, made several movements in multiple directions.",10/31/08,9/24/08,11:00:00,PM
9/24/08 22:30,Tallahassee,FL,Triangle,,"Triangle/boomerang object with multiple small flashing lights spotted in Tallahassee, FL NW Capital Circle",10/31/08,9/24/08,10:30:00,PM
9/23/08 22:14,West Bloomfield,MI,Triangle,24 seconds,"Strange noise, flew very slowly, was much lower than regular aircrafts should be.",10/31/08,9/23/08,10:14:00,PM
9/23/08 20:15,Boynton Beach,FL,Triangle,30 seconds,"Large white trident shape craft with flowing wispy undulating tail seen in sky south florida, boynton beach on 09/23/08.",10/31/08,9/23/08,8:15:00,PM
9/23/08 19:00,Minneapolis,MN,Triangle,2 min,triangle shape air craft,10/31/08,9/23/08,7:00:00,PM
9/23/08 17:53,Las Vegas,NV,Triangle,35 seconds,A triagle in orbit flys long way with six to eight light then disappears.,10/31/08,9/23/08,5:53:00,PM
9/23/08 0:15,San Francisco,CA,Triangle,25 Seconds,Triangular formation of dim lights spotted moving smoothly across San Francisco night sky.,10/31/08,9/23/08,12:15:00,AM
9/22/08 23:02,Atlanta,GA,Triangle,3 SECS,My daughter and I went out to look at the lunar eclipse that was to take place at 11:00pm. We were looking in the sky for the moon and,10/31/08,9/22/08,11:02:00,PM
9/22/08 20:46,Edinburgh (UK/Scotland),,Triangle,20 seconds,"Clear sky, near cassiopeia-triangle shaped with 3rd object in parallel. Perfect formation & very fast & high in sky.",10/31/08,9/22/08,8:46:00,PM
9/20/08 20:38,Martin County,FL,Triangle,30 seconds,Multiple craft in shape of triangle perform high speed flyby at high altitude.,10/31/08,9/20/08,8:38:00,PM
