Date / Time,City,State,Shape,Duration,Summary,Posted,Date of Sighting,Time of Sighting,Meridian,,
12/22/17 17:24,San Bernardino,CA,Circle,20 minutes,"Sky was light up white glowing smoke orange blue very pretty, but very weird movement. ((NUFORC Note: Missile launch. PD))",1/12/18,12/22/17,5:24:00,PM,,
12/22/17 17:00,los angeles,CA,Circle,5 minutes,2 glowing circular objects flying over los angeles. ((NUFORC Note: Missile launch from Vandenberg AFB @ 17:26 hrs. (PST). PD)),1/12/18,12/22/17,5:00:00,PM,,
12/22/17 17:00,Dana Point,CA,Circle,20 minutes,2 bright orbs launched over sea from house overlooking Ocean Inst. in Dana Point. ((NUFORC Note: Rocket launch from Vandenberg. PD)),1/12/18,12/22/17,5:00:00,PM,,
12/22/17 17:00,Santa Margarita,CA,Circle,3-5 minutes,"2 bright white-cricle lights that changed shapes under a cloud, before dusk (clear sky). ((NUFORC Note: Rocket launch. PD))",1/12/18,12/22/17,5:00:00,PM,,
12/22/17 3:21,Baldwin Park,CA,Circle,5 minutes,I glanced up my eye caught a Black object in the sky. I thought it was a lunar eclipse but amazing it was not...it was a circle…,1/12/18,12/22/17,3:21:00,AM,,
12/21/17 22:05,Reno,NV,Circle,4 minutes,Low fast flying lights in circular formation.,1/12/18,12/21/17,10:05:00,PM,,
12/21/17 6:30,PHONEX,AZ,Circle,10 minutes,"It was circular and white with a huge fanned out tail of bright, bright white. ((NUFORC Note: Missile launch. PD))",1/12/18,12/21/17,6:30:00,AM,,
12/20/17 21:00,Silver Lake,MN,Circle,Hours,"Perfect circle, no movement, outlined by 12 white lights, about 1 mile in diameter",12/21/17,12/20/17,9:00:00,PM,,
12/20/17 20:45,Portland,OR,Circle,2 1/2 hours,Bright circular light sat still for 20 minutes then proceeded to move back and forth and up and down. ((anonymous report)),12/21/17,12/20/17,8:45:00,PM,,
12/20/17 19:00,Eden Prairie,MN,Circle,,"62 W, got off on the shady oak exit. I noticed a ring of clouded white lights just SW. ((NUFORC Note: Adv. lights from casino? PD))",1/12/18,12/20/17,7:00:00,PM,,
12/20/17 17:45,Smiths Cove (Canada),NS,Circle,3-4 seconds,Ball of light outlined in a firey red soars across the sky. ((anonymous report)),12/21/17,12/20/17,5:45:00,PM,,
12/19/17 17:20,Middle River,MD,Circle,5 seconds,Small ball of light streaks across sky and disappears.,12/21/17,12/19/17,5:20:00,PM,,
12/17/17 16:00,Palm Bay,FL,Circle,3 minutes,((NUFORC Note: No information provided by witness. PD)),12/21/17,12/17/17,4:00:00,PM,,
12/15/17 20:30,Syracuse,NY,Circle,1 minute,4 yellowish red oval like objects that formed a large triangle like shape,1/12/18,12/15/17,8:30:00,PM,,
12/15/17 4:00,Cape Coral,FL,Circle,3 hours+,"Two craft one blueish/purpleish and the other orangeis. They are pretty high up, & @ high speeds. ((anonymous report))",12/21/17,12/15/17,4:00:00,AM,,
12/14/17 22:00,Malabar,FL,Circle,5 minutes,Saw 2 large orange circle or globe like Things in the sky. They were side by side. We watched them for approx 5 minutes. It is a rural,12/21/17,12/14/17,10:00:00,PM,,
12/14/17 5:00,Evans,GA,Circle,,Yellow/orange lights calmly going up to the star but the last one dashed. ((anonymous report)),12/21/17,12/14/17,5:00:00,AM,,
12/13/17 21:45,Watsonville,CA,Circle,3 seconds,"Large, dull red-colored, round object with a darker brownish glow around the outside going very fast. ((anonymous report))",12/21/17,12/13/17,9:45:00,PM,,
12/13/17 21:00,Vancouver,WA,Circle,13 seconds,No sound from object and without slowing down made a sharp 90 degree turn south.,12/21/17,12/13/17,9:00:00,PM,,
12/12/17 23:30,Fort Pierce,FL,Circle,Seconds,I saw a round bright bright green light fall from the sky straight to the ground faster than I've ever seen anything fly. Like it was l,12/14/17,12/12/17,11:30:00,PM,,
12/12/17,Rosarito Beach (Baja; Mexico),,Circle,5 minutes,Between 8-9 pm I saw 7 bright yellow lights a distance between each one over the ocean approx 10 miles out and sitting low in the sky.,12/14/17,12/12/17,,,,
12/11/17 18:00,Queen Creek/South Gilbert,AZ,Circle,15 minutes,Saw orange reddish orbs moving from Queen Creek west towards south Gilbert. Very bright in the sky.,12/14/17,12/11/17,6:00:00,PM,,
12/10/17 0:30,New York City (Brooklyn),NY,Circle,3-5 minutes,Several orbs seen in Brooklyn sky. ((anonymous report)),12/10/17,12/10/17,12:30:00,AM,,
12/9/17 18:30,Billings,MT,Circle,2 minutes,Flashing lights. no noise.,12/10/17,12/9/17,6:30:00,PM,,
12/9/17 18:00,Townsend,MT,Circle,15 minutes,10 flashing lights red in color with the center one white rotating counter clockwise. Moving west to east.,12/10/17,12/9/17,6:00:00,PM,,
12/9/17 16:45,Cheyenne,WY,Circle,1 minutes,Sitting at a red light and im looking at light waiting for it turn green. And this Round object with bunch of mini pastel lights flotin,12/10/17,12/9/17,4:45:00,PM,,
12/9/17 12:00,Redding,CA,Circle,10 seconds,Myself and sons were driving down I-5 south from Redding to Anderson i noticed a larger than normal chem trail close to the direction o,12/10/17,12/9/17,12:00:00,PM,,
12/9/17 3:05,Dardanelle,AR,Circle,2 seconds,I was driving down the highway taking a friend home when out of the corner of my eye looking through the windshield I saw a large white,12/10/17,12/9/17,3:05:00,AM,,
