Date / Time,City,State,Shape,Duration,Summary,Posted,Date,Time,Meridian,Month,Day,Year
4/4/09 0:25,Manchester (UK/England),,Fireball,3 minutes,A fireball like object slowly moving across the sky. Twinkling colours around the edge. Then disapeared high up in the sky.,4/14/09,4/4/09,12:25:00,AM,4,4,2009
4/3/09 21:30,"Morden, Surrey (UK/England)",,Fireball,2 minutes,Orange fireball to the East,4/14/09,4/3/09,9:30:00,PM,4,3,2009
4/3/09 20:30,Inverness,FL,Fireball,3 minutes,"Orange fireball (?) over Inverness, FL night sky",4/14/09,4/3/09,8:30:00,PM,4,3,2009
4/3/09 18:00,Leitchfield,KY,Circle,45 seconds,unknown lights in a field,6/9/09,4/3/09,6:00:00,PM,4,3,2009
4/3/09 11:20,Ensenada,,Circle,3 minutes,"Walking along some hills east of Ensenada, Mexico with friends we saw three metalic balls at the top of a hill. At first we thought the",4/14/09,4/3/09,11:20:00,AM,4,3,2009
4/1/09 23:40,Kosciusko,MS,Triangle,45 seconds,"3 triangular shaped objects ""gliding"" over the house. All 3 had this orange-white transparent glow.",8/5/09,4/1/09,11:40:00,PM,4,1,2009
4/1/09 20:00,Frankfort Square,IL,Triangle,Aprox. 1:30,Following a Triangular UFO,4/14/09,4/1/09,8:00:00,PM,4,1,2009
4/1/09 18:50,Frankfort,IL,Triangle,2 hours,Triangle UFO in Frankfort ILLINOIS,4/14/09,4/1/09,6:50:00,PM,4,1,2009
3/30/09 23:50,Dudley,MA,Circle,10-15 mins,I was watching a program on TV when I looked out my door and I saw this huge cicle over a light tower that is very visible through my d,4/14/09,3/30/09,11:50:00,PM,3,30,2009
3/30/09 23:25,Louisville,KY,Triangle,5-7 minutes,several lighted triangular shaped objects hovering in the sky,4/14/09,3/30/09,11:25:00,PM,3,30,2009
3/30/09 11:30,Alton,IL,Circle,unknown,Light discovered in photo.,5/12/09,3/30/09,11:30:00,AM,3,30,2009
3/30/09 6:00,Crestwood,IL,Triangle,5 Minutes,Triangular Matte Black Object against clear East pre sunrise sky in Crestwood IL,4/14/09,3/30/09,6:00:00,AM,3,30,2009
3/29/09 21:50,Virginia Beach,VA,Fireball,10 seconds,"Purple fire trail from debris headed east at rapid pace, leaving thunder boom in its wake.",4/14/09,3/29/09,9:50:00,PM,3,29,2009
3/29/09 21:45,White Lake,NC,Fireball,15 Seconds,"I was driving down the NC 41 between White Lake and Tomahawk, North Carolina and I saw a bright green light strike the ground. It came",4/14/09,3/29/09,9:45:00,PM,3,29,2009
3/29/09 21:44,South Hill,VA,Fireball,15 seconds,"Bright Light traveling parallel to ground descends to the ground in a fireball in South Hill, VA.((NUFORC Note: Possible meteor. PD))",4/14/09,3/29/09,9:44:00,PM,3,29,2009
3/29/09 21:40,Annapolis,MD,Circle,10 seconds,Flaming baseball sized object fell quietly from the dark sky; flamed out at 20 feet above water.((NUFORC Note: Suspected meteor. PD)),4/14/09,3/29/09,9:40:00,PM,3,29,2009
3/28/09 23:10,Santa Cruz,CA,Triangle,roughly a minute,"three white patches forming a dim triangle (looked like one craft) flying completely silently, low, and at constant speed (fast) North.",4/14/09,3/28/09,11:10:00,PM,3,28,2009
3/28/09 23:00,Sedalia,MO,Triangle,2 Minutes,"Triangular shaped craft over Sedalia, MO",4/14/09,3/28/09,11:00:00,PM,3,28,2009
3/28/09 21:30,Winston (near),NM,Fireball,3-5 seconds,Meteor or Fireball between Cuchillo and Winston NM March 28 2009 about 9:30 PM very light and very big.,4/14/09,3/28/09,9:30:00,PM,3,28,2009
3/28/09 11:45,Columbia,SC,Fireball,4 minutes,Red fireball UFOs over South Carolina in controlled flight to a northerly direction seen south of Columbia,4/14/09,3/28/09,11:45:00,AM,3,28,2009
3/28/09 0:00,Perris,CA,Triangle,30 min.,((HOAX??)) a triangular shape clusterd together and flew stangely for about an hour.,4/14/09,3/28/09,12:00:00,AM,3,28,2009
3/26/09 21:45,Chatsworth,GA,Circle,2 minutes,object appeared to float over just barely above tree line way to low for a plane but saw red and white lights no noise,4/14/09,3/26/09,9:45:00,PM,3,26,2009
3/26/09 20:00,Streetsboro,OH,Circle,5 minutes,I AM VERY SURE OF WHAT MY WIFE AND I SAW,4/14/09,3/26/09,8:00:00,PM,3,26,2009
3/25/09 8:00,Cataqua,PA,Triangle,30 minutes,"I saw that craft yesterday seen in N.J. it was in pennsylvania first for a while,",4/14/09,3/25/09,8:00:00,AM,3,25,2009
3/24/09 21:30,Oakley,KS,Triangle,~15 minutes,"Large triangular craft over Oakley, Kansas - multiple sightings",4/14/09,3/24/09,9:30:00,PM,3,24,2009
3/24/09 20:26,Montevallo,AL,Triangle,2 minutes,slow moving triangle with red and white lights,4/14/09,3/24/09,8:26:00,PM,3,24,2009
3/24/09 4:36,Coral Springs,FL,Circle,1 min,Orange shooting star seeing on the South Florida night sky,4/14/09,3/24/09,4:36:00,AM,3,24,2009
3/23/09 22:07,Berlin (Germany),,Fireball,5 minutes,5 fireballs 20meters abowe my head in Berlin,12/12/09,3/23/09,10:07:00,PM,3,23,2009
